No EMPRE|VALOR SUB|TRAB F|TRAB M|CIUDAD|CIIU|DESCRIPCION|
26.0|12485870.0|28.0|479.0|PAZ DEL RIO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
5.0|552950.0|5.0|5.0|SAMACA|4752|COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA- PINTURAS Y PRODUCTOS DE VIDRIO EN ESTABLECIMIENTOS ESPECIALIZADOS|
9.0|4685090.0|92.0|13.0|TUNJA|8790|OTRAS ACTIVIDADES DE ATENCION EN INSTITUCIONES CON ALOJAMIENTO|
1.0|171960.0|4.0|3.0|MOTAVITA|8560|ACTIVIDADES DE APOYO A LA EDUCACION|
3.0|231800.0|2.0|6.0|PUERTO BOYACA|4775|COMERCIO AL POR MENOR DE ARTICULOS DE SEGUNDA MANO|
433.0|69285960.0|251.0|1743.0|DUITAMA|4923|TRANSPORTE DE CARGA POR CARRETERA|
160.0|76782210.0|114.0|2420.0|SOGAMOSO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
87.0|31893130.0|179.0|1027.0|DUITAMA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
4.0|615340.0|26.0|59.0|TUNJA|8541|EDUCACION TECNICA PROFESIONAL|
1.0|46360.0|3.0|0.0|VILLAPINZON|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
7.0|3546130.0|35.0|57.0|PAIPA|4731|COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES|
1.0|413870.0|0.0|10.0|SATIVANORTE|4923|TRANSPORTE DE CARGA POR CARRETERA|
28.0|1043510.0|41.0|6.0|DUITAMA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
2.0|3370.0|1.0|0.0|BELEN|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
15.0|6833590.0|100.0|107.0|DUITAMA|7020|ACTIVIDADES DE CONSULTARIA DE GESTION|
11.0|1664770.0|34.0|61.0|SOGAMOSO|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
232.0|36944180.0|354.0|1346.0|TUNJA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
62.0|3164570.0|38.0|27.0|SANTAFE DE BOGOTA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
4.0|712250.0|7.0|41.0|PUERTO BOYACA|0910|ACTIVIDADES DE APOYO PARA LA EXTRACCION DE PETROLEO Y DE GAS NATURAL|
6.0|1983370.0|24.0|38.0|MEDELLIN|7820|ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL|
1.0|99460.0|0.0|10.0|SOCHA|2511|FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL|
2.0|271420.0|6.0|13.0|SANTAFE DE BOGOTA|7210|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERIA|
16.0|1713590.0|15.0|82.0|PAIPA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
2.0|99460.0|16.0|0.0|DUITAMA|8730|ACTIVIDADES DE ATENCION EN INSTITUCIONES PARA EL CUIDADO DE PERSONAS MAYORES Y/O DISCAPACITADAS|
3.0|185440.0|4.0|3.0|DUITAMA|4755|COMERCIO AL POR MENOR DE ARTICULOS Y UTENSILIOS DE USO DOMESTICO|
57.0|7180060.0|200.0|84.0|SOGAMOSO|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
15.0|579910.0|40.0|34.0|SANTAFE DE BOGOTA|7310|PUBLICIDAD|
5.0|472890.0|18.0|8.0|VILLA DE LEYVA|4711|COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS CON SURTIDO COMPUESTO PRINCIPALMENTE POR ALIMENTOS- BEBIDAS O TABACO|
6.0|364140.0|5.0|16.0|SOGAMOSO|7730|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA- EQUIPO Y BIENES TANGIBLES NCP|
106.0|13060220.0|254.0|184.0|TUNJA|5611|EXPENDIO A LA MESA DE COMIDAS PREPARADAS|
1.0|0.0|0.0|0.0|PAIPA|7420|ACTIVIDADES DE FOTOGRAFIA|
1.0|0.0|0.0|2.0|CARTAGENA|4754|COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO- MUEBLES Y EQUIPOS DE ILUMINACION|
8.0|1244980.0|24.0|15.0|TUNJA|6010|ACTIVIDADES DE PROGRAMACION Y TRANSMISION EN EL SERVICIO DE RADIODIFUSION SONORA|
2.0|53100.0|1.0|2.0|TUNJA|7710|ALQUILER Y ARRENDAMIENTO DE VEHICULOS AUTOMOTORES|
20.0|2268270.0|55.0|23.0|SOGAMOSO|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
1.0|92720.0|0.0|2.0|RAQUIRA|6120|ACTIVIDADES DE TELECOMUNICACIONES INALAMBRICAS|
5.0|105380.0|4.0|0.0|MIRAFLORES|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
