No EMPRE|VALOR SUB|TRAB F|TRAB M|CIUDAD|CIIU|DESCRIPCION|
224.0|25054560.0|339.0|1200.0|TUNJA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
2.0|0.0|0.0|1.0|SANTA ROSA DE VITERBO|4663|COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCION- ARTICULOS DE FERRETERIA- PINTURAS- PRODUCTOS DE VIDRIO- EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION|
7.0|98640.0|1.0|7.0|SAMACA|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
38.0|9896880.0|186.0|123.0|SANTAFE DE BOGOTA|7820|ACTIVIDADES DE AGENCIAS DE EMPLEO TEMPORAL|
9.0|2597520.0|63.0|74.0|SOGAMOSO|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
1.0|0.0|1.0|0.0|MONIQUIRA|4663|COMERCIO AL POR MAYOR DE MATERIALES DE CONSTRUCCION- ARTICULOS DE FERRETERIA- PINTURAS- PRODUCTOS DE VIDRIO- EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION|
3.0|65760.0|0.0|1.0|TUNJA|4789|COMERCIO AL POR MENOR DE OTROS PRODUCTOS EN PUESTOS DE VENTA MOVILES|
6.0|591840.0|16.0|7.0|PAIPA|1081|ELABORACION DE PRODUCTOS DE PANADERIA|
435.0|50569440.0|241.0|1706.0|DUITAMA|4923|TRANSPORTE DE CARGA POR CARRETERA|
1.0|75640.0|0.0|1.0|VILLA DE LEYVA|0111|CULTIVO DE CEREALES (EXCEPTO ARROZ)- LEGUMBRES Y SEMILLAS OLEAGINOSAS|
14.0|723360.0|10.0|53.0|CHIQUINQUIRA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
3.0|65760.0|1.0|1.0|GUAYATA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
1.0|0.0|0.0|0.0|VALLEDUPAR|8413|REGULACION DE LAS ACTIVIDADES DE ORGANISMOS QUE PRESTAN SERVICIOS DE SALUD- EDUCATIVOS- CULTURALES Y OTROS SERVICIOS SOCIALES- EXCEPTO SERVICIOS DE SEGURIDAD SOCIAL|
100.0|8778960.0|219.0|170.0|TUNJA|5611|EXPENDIO A LA MESA DE COMIDAS PREPARADAS|
7.0|295920.0|19.0|16.0|SOGAMOSO|5619|OTROS TIPOS DE EXPENDIO DE COMIDAS PREPARADAS NCP|
5.0|263040.0|5.0|8.0|SOGAMOSO|7730|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA- EQUIPO Y BIENES TANGIBLES NCP|
4.0|493200.0|1.0|28.0|SOGAMOSO|4220|CONSTRUCCION DE PROYECTOS DE SERVICIO PUBLICO|
1.0|32880.0|0.0|0.0|CALI|3511|GENERACION DE ENERGIA ELECTRICA|
