No EMPRE|VALOR SUB|TRAB F|TRAB M|CIUDAD|CIIU|DESCRIPCION|
9.0|3697500.0|86.0|17.0|TUNJA|8790|OTRAS ACTIVIDADES DE ATENCION EN INSTITUCIONES CON ALOJAMIENTO|
1.0|0.0|4.0|3.0|MOTAVITA|8560|ACTIVIDADES DE APOYO A LA EDUCACION|
439.0|60791250.0|270.0|1753.0|DUITAMA|4923|TRANSPORTE DE CARGA POR CARRETERA|
162.0|67194020.0|126.0|2446.0|SOGAMOSO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
1.0|36250.0|1.0|4.0|SOCHA|2511|FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL|
2.0|72500.0|5.0|7.0|SANTAFE DE BOGOTA|7210|INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERIA|
26.0|1450000.0|41.0|7.0|DUITAMA|8622|ACTIVIDADES DE LA PRACTICA ODONTOLOGICA|
15.0|6663260.0|106.0|112.0|DUITAMA|7020|ACTIVIDADES DE CONSULTARIA DE GESTION|
1.0|36250.0|0.0|1.0|PUERTO BOYACA|4775|COMERCIO AL POR MENOR DE ARTICULOS DE SEGUNDA MANO|
1.0|36250.0|3.0|0.0|VILLAPINZON|4773|COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES- COSMETICOS Y ARTICULOS DE TOCADOR EN ESTABLECIMIENTOS ESPECIALIZADOS|
26.0|10476250.0|28.0|489.0|PAZ DEL RIO|0510|EXTRACCION DE HULLA (CARBON DE PIEDRA)|
110.0|12252500.0|277.0|206.0|TUNJA|5611|EXPENDIO A LA MESA DE COMIDAS PREPARADAS|
6.0|2972500.0|39.0|56.0|PAIPA|4731|COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES|
10.0|174510.0|11.0|30.0|SOGAMOSO|4330|TERMINACION Y ACABADO DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL|
18.0|1413750.0|15.0|52.0|CHIQUINQUIRA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
216.0|32951250.0|355.0|1357.0|TUNJA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
89.0|29507500.0|198.0|1090.0|DUITAMA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
57.0|2175000.0|40.0|27.0|SANTAFE DE BOGOTA|9700|ACTIVIDADES DE LOS HOGARES INDIVIDUALES COMO EMPLEADORES DE PERSONAL DOMESTICO|
10.0|2465000.0|54.0|63.0|SOGAMOSO|8299|OTRAS ACTIVIDADES DE SERVICIO DE APOYO A LAS EMPRESAS NCP|
58.0|6996250.0|187.0|87.0|SOGAMOSO|9499|ACTIVIDADES DE OTRAS ASOCIACIONES NCP|
16.0|1848750.0|14.0|80.0|PAIPA|4290|CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL|
4.0|145000.0|4.0|3.0|DUITAMA|4755|COMERCIO AL POR MENOR DE ARTICULOS Y UTENSILIOS DE USO DOMESTICO|
2.0|0.0|0.0|1.0|MEDELLIN|4690|COMERCIO AL POR MAYOR NO ESPECIALIZADO|
5.0|290000.0|5.0|6.0|SOGAMOSO|7730|ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA- EQUIPO Y BIENES TANGIBLES NCP|
